p_num,perc_Timeout_FT,perc_Timeout_NT,respN_trials_Above_1_FT,respN_trials_Above_1_NT
1,13.194444444444443,0,1.3888888888888888,0
2,6.944444444444442,2.083333333333337,29.86111111111111,6.25
3,11.111111111111116,9.027777777777779,40.27777777777778,26.38888888888889
4,2.083333333333337,2.777777777777779,61.80555555555556,65.27777777777779
5,1.388888888888884,0,3.4722222222222223,2.7777777777777777
6,2.777777777777779,1.388888888888884,30.555555555555557,13.88888888888889
7,23.611111111111114,9.722222222222221,33.33333333333333,37.5
8,3.472222222222221,0.694444444444442,13.88888888888889,6.25
9,3.472222222222221,0,9.722222222222223,15.972222222222221
10,1.388888888888884,0,11.805555555555555,5.555555555555555
11,1.388888888888884,0,8.333333333333332,6.25
12,0,0,0,4.166666666666666
13,1.388888888888884,0,2.7777777777777777,16.666666666666664
14,1.388888888888884,2.777777777777779,10.416666666666668,13.194444444444445
15,7.638888888888884,2.777777777777779,37.5,20.13888888888889
16,4.1666666666666625,2.083333333333337,10.416666666666668,15.277777777777779
17,1.388888888888884,0,16.666666666666664,15.277777777777779
18,0.694444444444442,0.694444444444442,1.3888888888888888,3.4722222222222223
19,4.861111111111116,6.25,9.027777777777777,19.444444444444446
20,4.861111111111116,2.777777777777779,26.38888888888889,26.38888888888889
21,5.555555555555558,2.083333333333337,17.36111111111111,13.194444444444445
22,7.638888888888884,6.25,23.61111111111111,27.083333333333332
23,1.388888888888884,0,6.944444444444445,6.944444444444445
24,2.083333333333337,1.388888888888884,12.5,6.944444444444445
25,0,0.694444444444442,5.555555555555555,2.7777777777777777
26,0,0,11.11111111111111,18.055555555555554
27,1.388888888888884,0,2.7777777777777777,2.083333333333333
28,2.083333333333337,7.638888888888884,22.916666666666664,6.944444444444445
29,2.777777777777779,0,25,15.277777777777779
30,0.694444444444442,0,16.666666666666664,6.944444444444445
31,17.361111111111114,3.472222222222221,3.4722222222222223,10.416666666666668
32,1.388888888888884,0,16.666666666666664,4.166666666666666
33,11.805555555555557,4.1666666666666625,52.77777777777778,19.444444444444446
34,0,0,31.25,30.555555555555557
35,0.694444444444442,0,11.11111111111111,6.25
36,3.472222222222221,2.777777777777779,16.666666666666664,24.305555555555554
37,0,0,6.25,4.166666666666666
38,4.1666666666666625,2.777777777777779,22.916666666666664,31.944444444444443
39,2.777777777777779,0.694444444444442,20.13888888888889,9.722222222222223
40,0.694444444444442,1.388888888888884,6.944444444444445,19.444444444444446
